question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category
282,This is sample question 282 evaluating personality.,Strongly Agree,Disagree,Strongly Disagree,Agree,C,Logic
283,This is sample question 283 evaluating logic.,Agree,Disagree,Strongly Agree,Strongly Disagree,D,Personality
284,This is sample question 284 evaluating logic.,Disagree,Neutral,Strongly Disagree,Strongly Agree,B,Interest
285,This is sample question 285 evaluating interest.,Disagree,Strongly Disagree,Strongly Agree,Neutral,A,Logic
286,This is sample question 286 evaluating logic.,Strongly Agree,Agree,Neutral,Disagree,A,Interest
287,This is sample question 287 evaluating logic.,Strongly Disagree,Strongly Agree,Agree,Disagree,A,Personality
288,This is sample question 288 evaluating aptitude.,Agree,Disagree,Neutral,Strongly Disagree,B,Personality
289,This is sample question 289 evaluating logic.,Strongly Disagree,Strongly Agree,Neutral,Disagree,B,Interest
290,This is sample question 290 evaluating logic.,Strongly Agree,Neutral,Strongly Disagree,Agree,D,Logic
291,This is sample question 291 evaluating personality.,Disagree,Neutral,Strongly Agree,Agree,B,Logic
292,This is sample question 292 evaluating interest.,Strongly Agree,Disagree,Neutral,Agree,A,Logic
293,This is sample question 293 evaluating logic.,Strongly Agree,Neutral,Agree,Disagree,B,Logic
294,This is sample question 294 evaluating aptitude.,Strongly Disagree,Disagree,Neutral,Agree,D,Personality
295,This is sample question 295 evaluating logic.,Agree,Disagree,Strongly Agree,Strongly Disagree,D,Logic
296,This is sample question 296 evaluating personality.,Disagree,Strongly Disagree,Strongly Agree,Agree,C,Logic
297,This is sample question 297 evaluating interest.,Strongly Agree,Disagree,Strongly Disagree,Neutral,B,Logic
298,This is sample question 298 evaluating interest.,Neutral,Strongly Agree,Strongly Disagree,Disagree,C,Logic
299,This is sample question 299 evaluating personality.,Strongly Agree,Agree,Neutral,Strongly Disagree,B,Personality
300,This is sample question 300 evaluating aptitude.,Disagree,Agree,Neutral,Strongly Agree,A,Aptitude
301,This is sample question 301 evaluating logic.,Agree,Strongly Agree,Neutral,Disagree,C,Personality
302,This is sample question 302 evaluating interest.,Strongly Agree,Agree,Strongly Disagree,Disagree,A,Personality
303,This is sample question 303 evaluating interest.,Strongly Agree,Agree,Disagree,Strongly Disagree,B,Logic
304,This is sample question 304 evaluating personality.,Agree,Strongly Agree,Strongly Disagree,Neutral,C,Interest
305,This is sample question 305 evaluating aptitude.,Strongly Agree,Disagree,Agree,Neutral,C,Logic
306,This is sample question 306 evaluating personality.,Strongly Disagree,Agree,Disagree,Strongly Agree,D,Logic
307,This is sample question 307 evaluating logic.,Neutral,Agree,Strongly Disagree,Strongly Agree,A,Aptitude
308,This is sample question 308 evaluating interest.,Neutral,Strongly Agree,Disagree,Strongly Disagree,C,Personality
309,This is sample question 309 evaluating logic.,Strongly Disagree,Disagree,Agree,Strongly Agree,B,Aptitude
310,This is sample question 310 evaluating personality.,Strongly Agree,Agree,Disagree,Strongly Disagree,A,Interest
311,This is sample question 311 evaluating logic.,Strongly Agree,Strongly Disagree,Agree,Neutral,D,Aptitude
312,This is sample question 312 evaluating logic.,Disagree,Agree,Neutral,Strongly Disagree,C,Logic
313,This is sample question 313 evaluating aptitude.,Strongly Disagree,Agree,Disagree,Neutral,A,Interest
314,This is sample question 314 evaluating personality.,Disagree,Strongly Agree,Agree,Neutral,D,Personality
315,This is sample question 315 evaluating personality.,Strongly Agree,Agree,Disagree,Strongly Disagree,A,Logic
316,This is sample question 316 evaluating aptitude.,Disagree,Neutral,Strongly Disagree,Strongly Agree,D,Interest
317,This is sample question 317 evaluating interest.,Neutral,Strongly Agree,Agree,Strongly Disagree,D,Personality
318,This is sample question 318 evaluating personality.,Neutral,Disagree,Strongly Disagree,Strongly Agree,B,Interest
319,This is sample question 319 evaluating interest.,Neutral,Agree,Disagree,Strongly Disagree,D,Personality
320,This is sample question 320 evaluating logic.,Disagree,Agree,Neutral,Strongly Disagree,B,Personality
321,This is sample question 321 evaluating personality.,Strongly Agree,Neutral,Agree,Disagree,D,Personality
322,This is sample question 322 evaluating aptitude.,Agree,Neutral,Strongly Agree,Disagree,A,Personality
323,This is sample question 323 evaluating aptitude.,Strongly Disagree,Disagree,Strongly Agree,Neutral,B,Logic
324,This is sample question 324 evaluating interest.,Strongly Disagree,Agree,Neutral,Strongly Agree,A,Interest
325,This is sample question 325 evaluating interest.,Disagree,Strongly Disagree,Agree,Strongly Agree,C,Interest
326,This is sample question 326 evaluating aptitude.,Strongly Agree,Disagree,Agree,Strongly Disagree,C,Aptitude
327,This is sample question 327 evaluating aptitude.,Disagree,Agree,Neutral,Strongly Disagree,C,Aptitude
328,This is sample question 328 evaluating interest.,Strongly Disagree,Strongly Agree,Agree,Neutral,B,Interest
329,This is sample question 329 evaluating logic.,Disagree,Strongly Disagree,Neutral,Strongly Agree,D,Aptitude
330,This is sample question 330 evaluating logic.,Disagree,Agree,Strongly Agree,Neutral,D,Logic
331,This is sample question 331 evaluating personality.,Agree,Strongly Disagree,Strongly Agree,Disagree,C,Interest
332,This is sample question 332 evaluating interest.,Neutral,Strongly Disagree,Agree,Strongly Agree,C,Aptitude
333,This is sample question 333 evaluating logic.,Strongly Agree,Agree,Strongly Disagree,Disagree,D,Interest
334,This is sample question 334 evaluating aptitude.,Agree,Strongly Agree,Strongly Disagree,Neutral,A,Personality
335,This is sample question 335 evaluating interest.,Agree,Neutral,Strongly Disagree,Disagree,C,Logic
336,This is sample question 336 evaluating interest.,Strongly Agree,Strongly Disagree,Disagree,Neutral,B,Personality
337,This is sample question 337 evaluating interest.,Strongly Disagree,Neutral,Agree,Disagree,C,Personality
338,This is sample question 338 evaluating aptitude.,Neutral,Strongly Disagree,Strongly Agree,Disagree,D,Personality
339,This is sample question 339 evaluating logic.,Strongly Disagree,Disagree,Strongly Agree,Neutral,A,Logic
340,This is sample question 340 evaluating interest.,Strongly Agree,Strongly Disagree,Disagree,Agree,D,Aptitude
341,This is sample question 341 evaluating logic.,Agree,Strongly Agree,Disagree,Neutral,A,Logic
342,This is sample question 342 evaluating logic.,Strongly Disagree,Agree,Disagree,Neutral,A,Personality
343,This is sample question 343 evaluating personality.,Disagree,Neutral,Strongly Agree,Agree,A,Logic
344,This is sample question 344 evaluating interest.,Strongly Agree,Strongly Disagree,Neutral,Disagree,D,Logic
345,This is sample question 345 evaluating interest.,Agree,Strongly Disagree,Strongly Agree,Disagree,A,Aptitude
346,This is sample question 346 evaluating personality.,Neutral,Disagree,Agree,Strongly Disagree,A,Aptitude
347,This is sample question 347 evaluating logic.,Neutral,Strongly Disagree,Strongly Agree,Disagree,B,Personality
348,This is sample question 348 evaluating aptitude.,Neutral,Disagree,Agree,Strongly Disagree,B,Interest
349,This is sample question 349 evaluating personality.,Strongly Disagree,Agree,Neutral,Disagree,A,Aptitude
350,This is sample question 350 evaluating logic.,Disagree,Strongly Agree,Agree,Neutral,B,Logic
351,This is sample question 351 evaluating interest.,Disagree,Agree,Strongly Disagree,Neutral,D,Personality
352,This is sample question 352 evaluating personality.,Strongly Disagree,Neutral,Disagree,Agree,D,Personality
353,This is sample question 353 evaluating aptitude.,Disagree,Agree,Strongly Disagree,Strongly Agree,B,Personality
354,This is sample question 354 evaluating interest.,Agree,Disagree,Strongly Disagree,Neutral,D,Personality
355,This is sample question 355 evaluating logic.,Strongly Agree,Disagree,Agree,Neutral,D,Personality
356,This is sample question 356 evaluating interest.,Strongly Disagree,Neutral,Disagree,Strongly Agree,B,Aptitude
357,This is sample question 357 evaluating interest.,Strongly Agree,Neutral,Agree,Disagree,D,Personality
358,This is sample question 358 evaluating personality.,Disagree,Strongly Agree,Neutral,Strongly Disagree,B,Aptitude
359,This is sample question 359 evaluating aptitude.,Neutral,Agree,Strongly Agree,Disagree,B,Interest
360,This is sample question 360 evaluating aptitude.,Agree,Strongly Disagree,Disagree,Strongly Agree,C,Aptitude
361,This is sample question 361 evaluating personality.,Strongly Agree,Strongly Disagree,Disagree,Agree,D,Aptitude
362,This is sample question 362 evaluating personality.,Strongly Disagree,Strongly Agree,Disagree,Neutral,B,Personality
363,This is sample question 363 evaluating interest.,Agree,Disagree,Neutral,Strongly Agree,A,Aptitude
364,This is sample question 364 evaluating aptitude.,Agree,Strongly Agree,Disagree,Strongly Disagree,B,Personality
365,This is sample question 365 evaluating logic.,Agree,Strongly Agree,Disagree,Neutral,C,Aptitude
366,This is sample question 366 evaluating aptitude.,Agree,Strongly Agree,Strongly Disagree,Neutral,B,Logic
367,This is sample question 367 evaluating personality.,Strongly Agree,Strongly Disagree,Disagree,Neutral,B,Logic
368,This is sample question 368 evaluating personality.,Agree,Strongly Agree,Neutral,Disagree,B,Interest
369,This is sample question 369 evaluating logic.,Disagree,Agree,Strongly Agree,Strongly Disagree,C,Logic
370,This is sample question 370 evaluating aptitude.,Strongly Agree,Disagree,Neutral,Strongly Disagree,C,Interest
371,This is sample question 371 evaluating interest.,Agree,Neutral,Strongly Disagree,Disagree,D,Aptitude
372,This is sample question 372 evaluating logic.,Agree,Disagree,Strongly Disagree,Strongly Agree,A,Interest
373,This is sample question 373 evaluating personality.,Agree,Neutral,Strongly Disagree,Strongly Agree,A,Interest
374,This is sample question 374 evaluating aptitude.,Agree,Strongly Disagree,Disagree,Neutral,B,Aptitude
375,This is sample question 375 evaluating aptitude.,Agree,Disagree,Strongly Disagree,Neutral,A,Personality
376,This is sample question 376 evaluating interest.,Strongly Disagree,Neutral,Disagree,Strongly Agree,C,Interest
377,This is sample question 377 evaluating interest.,Neutral,Agree,Strongly Agree,Strongly Disagree,B,Aptitude
378,This is sample question 378 evaluating personality.,Strongly Agree,Disagree,Neutral,Strongly Disagree,C,Interest
379,This is sample question 379 evaluating interest.,Strongly Disagree,Disagree,Strongly Agree,Agree,B,Interest
380,This is sample question 380 evaluating interest.,Agree,Disagree,Strongly Agree,Strongly Disagree,A,Personality
381,This is sample question 381 evaluating personality.,Strongly Agree,Neutral,Strongly Disagree,Agree,C,Aptitude
382,This is sample question 382 evaluating logic.,Strongly Agree,Neutral,Disagree,Agree,D,Interest
383,This is sample question 383 evaluating aptitude.,Strongly Disagree,Strongly Agree,Neutral,Agree,C,Personality
384,This is sample question 384 evaluating personality.,Agree,Strongly Agree,Neutral,Disagree,B,Aptitude
385,This is sample question 385 evaluating personality.,Disagree,Agree,Strongly Disagree,Strongly Agree,C,Interest
386,This is sample question 386 evaluating interest.,Neutral,Strongly Agree,Disagree,Strongly Disagree,A,Logic
387,This is sample question 387 evaluating interest.,Strongly Disagree,Agree,Strongly Agree,Disagree,C,Personality
388,This is sample question 388 evaluating aptitude.,Neutral,Agree,Strongly Disagree,Disagree,B,Logic
389,This is sample question 389 evaluating aptitude.,Strongly Agree,Disagree,Neutral,Agree,D,Personality
390,This is sample question 390 evaluating logic.,Agree,Disagree,Neutral,Strongly Disagree,C,Personality
391,This is sample question 391 evaluating aptitude.,Strongly Disagree,Agree,Strongly Agree,Disagree,B,Interest
392,This is sample question 392 evaluating logic.,Neutral,Strongly Agree,Disagree,Strongly Disagree,A,Interest
393,This is sample question 393 evaluating personality.,Disagree,Strongly Disagree,Neutral,Agree,D,Interest
394,This is sample question 394 evaluating personality.,Agree,Strongly Agree,Disagree,Neutral,A,Aptitude
395,This is sample question 395 evaluating interest.,Neutral,Strongly Disagree,Disagree,Agree,B,Aptitude
396,This is sample question 396 evaluating personality.,Strongly Disagree,Neutral,Agree,Strongly Agree,B,Logic
397,This is sample question 397 evaluating personality.,Strongly Disagree,Strongly Agree,Disagree,Agree,A,Personality
398,This is sample question 398 evaluating personality.,Agree,Disagree,Strongly Disagree,Neutral,B,Personality
399,This is sample question 399 evaluating logic.,Strongly Agree,Neutral,Strongly Disagree,Agree,D,Logic
400,This is sample question 400 evaluating interest.,Strongly Agree,Neutral,Disagree,Agree,C,Personality
401,This is sample question 401 evaluating aptitude.,Neutral,Strongly Agree,Strongly Disagree,Disagree,B,Logic
402,This is sample question 402 evaluating personality.,Strongly Disagree,Neutral,Agree,Strongly Agree,B,Interest
403,This is sample question 403 evaluating logic.,Neutral,Agree,Disagree,Strongly Disagree,B,Logic
404,This is sample question 404 evaluating personality.,Agree,Disagree,Strongly Disagree,Strongly Agree,D,Aptitude
405,This is sample question 405 evaluating aptitude.,Strongly Agree,Strongly Disagree,Neutral,Agree,A,Logic
406,This is sample question 406 evaluating interest.,Agree,Strongly Disagree,Disagree,Strongly Agree,B,Personality
407,This is sample question 407 evaluating personality.,Strongly Agree,Strongly Disagree,Disagree,Agree,B,Aptitude
408,This is sample question 408 evaluating logic.,Agree,Strongly Agree,Strongly Disagree,Neutral,A,Interest
409,This is sample question 409 evaluating logic.,Disagree,Strongly Agree,Strongly Disagree,Agree,C,Interest
410,This is sample question 410 evaluating personality.,Strongly Agree,Strongly Disagree,Disagree,Agree,B,Logic
411,This is sample question 411 evaluating logic.,Strongly Disagree,Strongly Agree,Neutral,Agree,C,Logic
412,This is sample question 412 evaluating interest.,Disagree,Agree,Strongly Disagree,Neutral,D,Aptitude
413,This is sample question 413 evaluating aptitude.,Agree,Strongly Agree,Neutral,Disagree,D,Logic
414,This is sample question 414 evaluating personality.,Agree,Neutral,Strongly Agree,Disagree,A,Aptitude
415,This is sample question 415 evaluating logic.,Strongly Agree,Strongly Disagree,Disagree,Neutral,A,Logic
416,This is sample question 416 evaluating interest.,Agree,Disagree,Neutral,Strongly Disagree,D,Logic
417,This is sample question 417 evaluating logic.,Strongly Agree,Disagree,Neutral,Agree,D,Personality
418,This is sample question 418 evaluating interest.,Agree,Neutral,Strongly Agree,Disagree,B,Personality
419,This is sample question 419 evaluating aptitude.,Strongly Agree,Disagree,Agree,Strongly Disagree,B,Aptitude
420,This is sample question 420 evaluating logic.,Strongly Agree,Disagree,Agree,Strongly Disagree,A,Logic
421,This is sample question 421 evaluating personality.,Agree,Neutral,Disagree,Strongly Agree,D,Aptitude
422,This is sample question 422 evaluating personality.,Strongly Agree,Agree,Strongly Disagree,Disagree,D,Personality
423,This is sample question 423 evaluating aptitude.,Neutral,Agree,Strongly Agree,Strongly Disagree,A,Logic
424,This is sample question 424 evaluating logic.,Neutral,Strongly Disagree,Disagree,Strongly Agree,D,Logic
425,This is sample question 425 evaluating aptitude.,Strongly Agree,Agree,Disagree,Neutral,C,Interest
426,This is sample question 426 evaluating interest.,Disagree,Strongly Agree,Agree,Neutral,A,Logic
427,This is sample question 427 evaluating aptitude.,Strongly Agree,Disagree,Strongly Disagree,Neutral,B,Personality
428,This is sample question 428 evaluating interest.,Strongly Agree,Strongly Disagree,Neutral,Disagree,D,Personality
429,This is sample question 429 evaluating interest.,Strongly Disagree,Neutral,Disagree,Strongly Agree,D,Aptitude
430,This is sample question 430 evaluating aptitude.,Neutral,Agree,Strongly Disagree,Disagree,B,Personality
431,This is sample question 431 evaluating interest.,Disagree,Agree,Neutral,Strongly Agree,B,Personality
432,This is sample question 432 evaluating personality.,Neutral,Disagree,Strongly Disagree,Strongly Agree,B,Aptitude
433,This is sample question 433 evaluating interest.,Disagree,Strongly Disagree,Strongly Agree,Neutral,B,Logic
434,This is sample question 434 evaluating interest.,Strongly Agree,Agree,Disagree,Neutral,C,Logic
435,This is sample question 435 evaluating personality.,Strongly Disagree,Neutral,Disagree,Agree,D,Aptitude
436,This is sample question 436 evaluating aptitude.,Strongly Disagree,Agree,Strongly Agree,Disagree,A,Logic
437,This is sample question 437 evaluating interest.,Neutral,Disagree,Strongly Disagree,Agree,C,Logic
438,This is sample question 438 evaluating personality.,Agree,Neutral,Disagree,Strongly Agree,C,Interest
439,This is sample question 439 evaluating personality.,Agree,Neutral,Disagree,Strongly Disagree,B,Personality
440,This is sample question 440 evaluating interest.,Strongly Agree,Agree,Neutral,Disagree,A,Personality
441,This is sample question 441 evaluating logic.,Agree,Strongly Agree,Neutral,Strongly Disagree,B,Interest
442,This is sample question 442 evaluating logic.,Strongly Agree,Agree,Disagree,Neutral,C,Logic
443,This is sample question 443 evaluating interest.,Disagree,Neutral,Agree,Strongly Disagree,D,Logic
444,This is sample question 444 evaluating aptitude.,Neutral,Strongly Disagree,Agree,Disagree,D,Personality
445,This is sample question 445 evaluating personality.,Strongly Agree,Disagree,Strongly Disagree,Agree,A,Aptitude
446,This is sample question 446 evaluating aptitude.,Strongly Disagree,Neutral,Strongly Agree,Agree,D,Aptitude
447,This is sample question 447 evaluating logic.,Neutral,Disagree,Strongly Disagree,Strongly Agree,B,Logic
448,This is sample question 448 evaluating personality.,Disagree,Agree,Strongly Agree,Strongly Disagree,B,Logic
449,This is sample question 449 evaluating interest.,Disagree,Strongly Agree,Agree,Neutral,A,Logic
450,This is sample question 450 evaluating logic.,Disagree,Strongly Disagree,Neutral,Strongly Agree,C,Interest
451,This is sample question 451 evaluating personality.,Agree,Neutral,Disagree,Strongly Disagree,C,Personality
452,This is sample question 452 evaluating logic.,Strongly Agree,Strongly Disagree,Disagree,Neutral,B,Personality
453,This is sample question 453 evaluating aptitude.,Strongly Agree,Strongly Disagree,Neutral,Disagree,D,Interest
454,This is sample question 454 evaluating personality.,Strongly Disagree,Strongly Agree,Neutral,Agree,C,Logic
455,This is sample question 455 evaluating personality.,Strongly Disagree,Neutral,Strongly Agree,Agree,A,Interest
456,This is sample question 456 evaluating aptitude.,Disagree,Neutral,Strongly Disagree,Agree,B,Interest
457,This is sample question 457 evaluating interest.,Strongly Agree,Agree,Strongly Disagree,Disagree,D,Personality
458,This is sample question 458 evaluating interest.,Strongly Agree,Strongly Disagree,Disagree,Agree,C,Personality
459,This is sample question 459 evaluating aptitude.,Agree,Disagree,Strongly Disagree,Neutral,C,Aptitude
460,This is sample question 460 evaluating personality.,Agree,Neutral,Strongly Agree,Strongly Disagree,C,Interest
461,This is sample question 461 evaluating personality.,Strongly Agree,Neutral,Agree,Strongly Disagree,D,Aptitude
462,This is sample question 462 evaluating logic.,Disagree,Strongly Agree,Neutral,Agree,A,Personality
463,This is sample question 463 evaluating aptitude.,Strongly Agree,Disagree,Strongly Disagree,Neutral,A,Personality
464,This is sample question 464 evaluating logic.,Strongly Disagree,Agree,Disagree,Neutral,A,Logic
465,This is sample question 465 evaluating logic.,Strongly Agree,Neutral,Strongly Disagree,Agree,B,Logic
466,This is sample question 466 evaluating aptitude.,Agree,Neutral,Strongly Agree,Disagree,D,Interest
467,This is sample question 467 evaluating logic.,Strongly Disagree,Disagree,Neutral,Agree,C,Interest
468,This is sample question 468 evaluating logic.,Neutral,Strongly Agree,Agree,Disagree,C,Aptitude
469,This is sample question 469 evaluating personality.,Strongly Disagree,Agree,Neutral,Disagree,D,Aptitude
470,This is sample question 470 evaluating personality.,Strongly Agree,Neutral,Strongly Disagree,Agree,B,Aptitude
471,This is sample question 471 evaluating logic.,Strongly Agree,Agree,Disagree,Strongly Disagree,A,Logic
472,This is sample question 472 evaluating logic.,Agree,Strongly Agree,Neutral,Strongly Disagree,A,Interest
473,This is sample question 473 evaluating personality.,Disagree,Strongly Disagree,Strongly Agree,Neutral,C,Interest
474,This is sample question 474 evaluating interest.,Neutral,Strongly Agree,Agree,Strongly Disagree,C,Logic
475,This is sample question 475 evaluating aptitude.,Strongly Agree,Neutral,Disagree,Strongly Disagree,A,Logic
476,This is sample question 476 evaluating logic.,Strongly Disagree,Agree,Strongly Agree,Neutral,B,Personality
477,This is sample question 477 evaluating interest.,Neutral,Agree,Strongly Agree,Strongly Disagree,A,Interest
478,This is sample question 478 evaluating personality.,Agree,Strongly Agree,Disagree,Neutral,A,Interest
479,This is sample question 479 evaluating aptitude.,Neutral,Strongly Disagree,Agree,Strongly Agree,D,Aptitude
480,This is sample question 480 evaluating logic.,Strongly Agree,Neutral,Disagree,Agree,C,Aptitude
481,This is sample question 481 evaluating interest.,Strongly Agree,Neutral,Disagree,Agree,B,Personality
482,This is sample question 482 evaluating personality.,Agree,Strongly Agree,Disagree,Neutral,D,Aptitude
483,This is sample question 483 evaluating interest.,Disagree,Neutral,Strongly Agree,Strongly Disagree,B,Personality
484,This is sample question 484 evaluating aptitude.,Agree,Strongly Disagree,Strongly Agree,Neutral,A,Interest
485,This is sample question 485 evaluating logic.,Strongly Disagree,Strongly Agree,Agree,Neutral,C,Personality
486,This is sample question 486 evaluating personality.,Strongly Agree,Agree,Strongly Disagree,Neutral,D,Interest
487,This is sample question 487 evaluating logic.,Agree,Strongly Agree,Disagree,Strongly Disagree,A,Personality
488,This is sample question 488 evaluating logic.,Strongly Disagree,Agree,Disagree,Neutral,D,Logic
489,This is sample question 489 evaluating aptitude.,Disagree,Agree,Neutral,Strongly Agree,A,Logic
490,This is sample question 490 evaluating logic.,Neutral,Strongly Agree,Strongly Disagree,Disagree,C,Interest
491,This is sample question 491 evaluating logic.,Strongly Disagree,Neutral,Disagree,Agree,A,Personality
492,This is sample question 492 evaluating aptitude.,Strongly Disagree,Neutral,Strongly Agree,Agree,C,Personality
493,This is sample question 493 evaluating logic.,Strongly Agree,Strongly Disagree,Agree,Disagree,B,Interest
494,This is sample question 494 evaluating personality.,Strongly Agree,Strongly Disagree,Disagree,Neutral,A,Personality
495,This is sample question 495 evaluating interest.,Disagree,Neutral,Agree,Strongly Disagree,C,Interest
496,This is sample question 496 evaluating logic.,Agree,Strongly Agree,Disagree,Strongly Disagree,D,Logic
497,This is sample question 497 evaluating personality.,Neutral,Strongly Disagree,Strongly Agree,Disagree,D,Aptitude
498,This is sample question 498 evaluating interest.,Agree,Neutral,Disagree,Strongly Agree,B,Logic
499,This is sample question 499 evaluating logic.,Disagree,Strongly Agree,Agree,Strongly Disagree,D,Interest
500,This is sample question 500 evaluating aptitude.,Strongly Agree,Neutral,Strongly Disagree,Agree,D,Logic
